	Число избирателей, включенных в список избирателей	Число избирательных бюллетеней, полученных участковой избирательной комиссией	Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно	Число избирательных бюллетеней, выданных в помещении для голосования в день голосования	Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования	Число погашенных избирательных бюллетеней	Число избирательных бюллетеней в переносных ящиках для голосования	Число бюллетеней в стационарных ящиках для голосования	Число недействительных избирательных бюллетеней	Число действительных избирательных бюллетеней	Число полученных открепительных  удостоверений	Число открепительных удостоверений, выданных избирателям на избирательном участке	Число избирателей, проголосовавших по открепительным удостоверениям	Число неиспользованных открепительных удостоверений	Число открепительных удостоверений, выданных избирателям ТИК	Число утраченных открепительных удостоверений	Число утраченных избирательных бюллетеней	Число избирательных бюллетеней, не учтенных при получении	Жириновский Владимир Вольфович	Зюганов Геннадий Андреевич	Миронов Сергей Михайлович	Прохоров Михаил Дмитриевич	Путин Владимир Владимирович
УИК №405	2657	2300	0	1428	47	825	47	1426	23	1450	70	56	74	14	1	0	0	0	67	287	83	322	691
УИК №406	2784	2200	0	1718	31	451	31	1712	45	1698	150	148	72	2	2	0	0	0	187	319	80	287	825
УИК №407	2777	2400	0	1622	87	691	86	1553	35	1604	50	49	53	1	4	0	0	0	86	324	101	370	723
УИК №408	2427	2100	0	1369	51	680	51	1368	25	1394	50	48	43	2	1	0	0	0	74	262	75	339	644
УИК №409	2670	2400	0	1415	38	947	38	1411	36	1413	50	43	46	7	1	0	0	0	76	290	85	358	604
УИК №410	2871	2500	0	1613	56	831	56	1613	40	1629	60	60	53	0	2	0	0	0	75	337	95	446	676
УИК №411	2502	2200	0	1503	48	649	48	1500	25	1523	50	46	45	4	4	0	0	0	53	320	103	522	525
УИК №41	1642	1300	0	887	29	384	29	885	16	898	70	52	86	18	2	0	0	0	26	174	51	297	350
УИК №412	2228	2000	0	1288	63	649	63	1281	40	1304	40	29	34	11	1	0	0	0	48	307	80	334	535
УИК №413	2254	2000	0	1353	62	585	62	1349	24	1387	60	57	28	3	0	0	0	0	52	329	99	340	567
УИК №414	2544	2300	0	1475	46	779	46	1466	37	1475	60	56	26	4	4	0	0	0	51	313	68	451	592
УИК №415	2972	2600	0	1528	23	1049	23	1525	21	1527	90	65	57	25	1	0	0	0	74	250	80	541	582
УИК №416	2067	1900	0	1161	23	716	23	1156	25	1154	80	63	24	17	2	0	0	0	86	226	54	297	491
УИК №417	2054	1700	0	1276	31	393	31	1273	34	1270	50	36	29	14	0	0	0	0	84	269	74	400	443
УИК №418	1793	1700	0	1064	44	592	44	1058	24	1078	40	28	34	12	0	0	0	0	48	252	62	310	406
УИК №419	2494	2200	0	1434	40	726	40	1424	36	1428	70	61	50	9	1	0	0	0	66	345	88	408	521
УИК №4	1996	1400	0	1152	37	211	37	1141	31	1147	50	31	124	19	1	0	0	0	54	190	55	407	441
УИК №420	2206	2000	0	1271	52	677	52	1271	41	1282	60	51	48	9	3	0	0	0	62	296	82	346	496
УИК №421	2522	2300	0	1484	26	790	26	1476	37	1465	50	43	41	7	0	0	0	0	69	339	88	446	523
УИК №42	1451	1150	0	779	26	345	26	777	23	780	60	45	144	15	13	0	0	0	56	108	43	237	336
УИК №422	2156	1900	0	1259	55	586	55	1256	35	1276	60	40	35	20	1	0	0	0	51	236	85	443	461
УИК №423	2278	2000	0	1342	24	634	24	1338	30	1332	60	41	51	19	1	0	0	0	44	271	75	486	456
УИК №424	2500	2300	0	1446	46	808	46	1444	27	1463	65	62	34	3	0	0	0	0	60	334	112	430	527
УИК №425	2696	2400	0	1620	34	746	34	1620	33	1621	60	52	44	8	5	0	0	0	92	361	107	434	627
УИК №426	2430	2200	0	1354	41	805	41	1350	33	1358	60	55	22	5	2	0	0	0	71	286	82	333	586
УИК №427	2597	2300	0	1509	48	743	48	1506	32	1522	60	50	34	10	1	0	0	0	85	324	93	334	686
УИК №428	2818	2500	0	1449	47	1004	47	1434	40	1441	60	50	39	10	4	0	0	0	83	317	99	334	608
УИК №429	2448	2300	0	1355	49	896	49	1347	28	1368	55	49	30	6	3	0	0	0	71	305	80	317	595
УИК №430	2383	2100	0	1329	54	717	54	1323	33	1344	60	57	43	3	0	0	0	0	59	288	70	338	589
УИК №431	2146	1900	0	1228	50	622	50	1222	31	1241	60	54	22	6	2	0	0	0	67	278	79	246	571
УИК №43	1614	1310	0	1050	43	217	43	1049	20	1072	100	59	46	41	1	0	0	0	57	247	73	277	418
УИК №432	2692	2400	0	1571	53	775	53	1566	46	1573	60	55	48	5	3	0	1	0	81	371	84	363	674
УИК №433	1972	1800	0	1200	31	569	31	1197	23	1205	60	56	32	4	2	0	0	0	54	259	64	345	483
УИК №434	2943	2700	0	1621	56	1023	56	1621	32	1645	60	59	55	1	5	0	0	0	105	347	97	373	723
УИК №435	2627	2400	0	1309	26	1065	26	1294	41	1279	60	51	61	9	3	0	0	0	106	256	72	239	606
УИК №436	2301	2000	0	1187	45	768	45	1184	32	1197	60	59	35	1	3	0	0	0	82	244	59	221	591
УИК №437	2343	2000	0	1119	17	864	17	1107	25	1099	60	54	35	6	1	0	0	0	77	222	58	230	512
УИК №438	2036	1800	0	1064	40	696	39	1060	21	1078	60	49	19	11	7	0	0	0	64	235	66	220	493
УИК №439	2509	2200	0	1264	67	869	67	1259	22	1304	60	58	67	2	2	0	0	0	99	269	66	241	629
УИК №440	2841	2500	0	1581	49	870	49	1577	35	1591	60	60	39	0	3	0	0	0	72	340	129	376	674
УИК №441	2467	2200	0	1519	31	650	31	1513	32	1512	50	21	60	29	1	0	0	0	126	251	78	400	657
УИК №44	2041	1650	0	1074	40	536	40	1071	28	1083	80	38	42	42	3	0	0	0	45	187	81	371	399
УИК №442	2713	2400	0	1635	47	718	47	1621	34	1634	60	60	102	0	1	0	0	0	90	320	92	473	659
УИК №443	3059	2600	0	1563	43	994	43	1559	37	1565	65	62	148	3	1	0	0	0	81	303	88	390	703
УИК №444	2662	2400	0	1551	34	815	34	1545	34	1545	60	54	59	6	1	0	0	0	69	321	82	501	572
УИК №445	2261	2000	0	1386	30	584	30	1383	33	1380	60	35	77	25	0	0	0	0	88	280	70	358	584
УИК №446	2548	2100	0	1411	93	596	93	1406	32	1467	55	53	77	2	1	0	0	0	66	313	62	370	656
УИК №447	2681	2200	0	1636	37	527	37	1606	49	1594	66	63	58	3	2	0	0	0	69	284	90	482	669
УИК №448	2859	2300	0	1691	41	568	41	1685	38	1688	63	62	57	1	0	0	0	0	60	317	83	625	603
УИК №449	2696	2200	0	1538	38	624	38	1538	36	1540	60	60	17	0	1	0	0	0	58	299	83	500	600
УИК №450	2608	2200	0	1472	73	655	73	1464	28	1509	50	47	24	3	2	0	0	0	50	326	84	472	577
УИК №451	2496	2100	0	1436	48	616	48	1436	34	1450	83	80	23	3	2	0	0	0	77	265	109	338	661
УИК №45	1601	1270	0	924	25	321	25	919	11	933	70	35	129	35	1	0	0	0	45	190	45	257	396
УИК №452	2679	2200	0	1628	34	538	34	1614	30	1618	42	42	35	0	0	0	0	0	84	323	103	435	673
УИК №453	2255	2000	0	1314	57	629	57	1305	14	1348	40	40	30	0	2	0	0	0	29	311	83	341	584
УИК №454	2741	2400	0	1729	46	625	46	1729	33	1742	70	70	66	0	0	0	0	0	98	331	106	379	828
УИК №455	2837	2300	0	1624	45	631	45	1618	43	1620	60	49	84	11	0	0	0	0	76	287	92	386	779
УИК №456	2565	2400	0	1413	46	941	46	1411	23	1434	50	48	46	2	0	0	0	0	67	308	74	335	650
УИК №457	2741	2300	0	1435	34	831	34	1433	24	1443	69	68	24	1	4	0	0	0	74	294	86	366	623
УИК №458	2829	2300	0	1551	44	705	44	1541	40	1545	55	55	50	0	5	0	0	0	84	266	81	378	736
УИК №459	3073	2500	0	1695	47	758	47	1685	60	1672	58	58	31	0	5	0	0	0	104	312	83	428	745
УИК №460	2496	2000	0	1421	47	532	47	1393	34	1406	80	76	23	4	1	0	0	0	81	269	76	382	598
УИК №461	2784	2300	0	1618	50	632	50	1618	43	1625	63	60	30	3	1	0	0	0	82	305	99	432	707
УИК №46	2142	1790	0	1233	42	515	42	1227	24	1245	90	60	85	30	0	0	0	0	59	247	67	339	533
УИК №462	2542	2000	0	1261	72	667	72	1257	36	1293	63	51	36	12	1	0	0	0	81	241	84	315	572
УИК №463	2681	2200	0	1393	82	725	81	1388	19	1450	65	56	21	9	2	0	0	0	102	288	78	308	674
УИК №464	2786	2300	0	1500	82	718	82	1500	37	1545	64	58	47	6	1	0	0	0	78	302	81	338	746
УИК №465	2699	2200	0	1407	55	738	55	1407	38	1424	40	39	37	1	1	0	0	0	78	295	84	356	611
УИК №466	2664	2500	0	1416	36	1048	36	1411	29	1418	70	62	28	8	2	0	0	0	86	280	66	341	645
УИК №467	2775	2400	0	1442	38	920	38	1436	10	1464	70	70	76	0	1	0	0	0	102	252	64	380	666
УИК №468	2944	2500	0	1629	36	835	36	1625	42	1619	60	60	70	0	1	0	0	0	104	331	80	394	710
УИК №470	2243	1600	0	1373	61	166	61	1369	31	1399	90	89	72	1	1	0	0	0	70	308	61	365	595
УИК №471	1975	1500	0	1106	82	312	82	1106	24	1164	110	107	62	3	1	0	0	0	57	238	41	305	523
УИК №472	2605	2200	0	1608	44	548	44	1605	30	1619	95	93	102	2	1	0	0	0	69	387	75	381	707
УИК №473	2897	2500	0	1816	45	639	45	1809	35	1819	70	66	85	4	3	0	0	0	81	414	115	415	794
УИК №474	2638	2300	0	1531	58	711	58	1530	34	1554	80	78	59	2	1	0	0	0	93	329	68	388	676
УИК №475	2643	2200	0	1752	34	414	34	1748	38	1744	82	80	114	2	3	0	0	0	78	327	82	418	839
УИК №476	2331	2000	0	1369	68	563	68	1365	42	1391	45	45	40	0	0	0	0	0	66	321	54	313	637
УИК №477	2614	2100	0	1516	46	538	46	1511	45	1512	70	70	79	0	2	0	0	0	84	275	87	420	646
УИК №478	2797	2300	0	1888	44	368	44	1830	29	1845	125	121	55	4	4	0	0	0	94	338	91	460	862
УИК №47	887	810	0	364	2	444	2	364	9	357	90	82	25	8	14	0	0	0	21	53	21	64	198
УИК №479	2609	2100	0	1584	41	475	41	1584	47	1578	65	50	161	15	2	0	0	0	68	293	89	472	656
УИК №480	2404	2000	0	1346	51	603	51	1332	24	1359	47	44	57	3	0	0	0	0	67	215	68	431	578
УИК №481	2699	2300	0	1554	120	626	120	1549	31	1638	55	55	63	0	2	0	0	0	67	362	102	512	595
УИК №48	2029	1710	0	1182	30	498	30	1178	27	1181	90	49	68	41	0	0	0	0	65	255	68	284	509
УИК №482	2255	1800	0	1439	14	347	14	1438	29	1423	175	171	115	4	0	0	0	0	74	190	53	457	649
УИК №483	2776	2400	0	1498	32	870	32	1496	43	1485	54	51	43	3	0	0	0	0	68	269	55	545	548
УИК №484	2663	2200	0	1603	10	587	10	1598	35	1573	30	30	96	0	3	0	0	0	40	195	43	731	564
УИК №485	2565	2300	0	1655	54	591	54	1648	35	1667	100	77	71	23	0	0	0	0	76	304	89	527	671
УИК №486	2275	2000	0	1266	43	691	43	1261	30	1274	65	55	19	10	0	0	0	0	76	260	68	273	597
УИК №487	1748	1500	0	1044	33	423	33	1044	32	1045	50	48	29	2	0	0	0	0	49	195	54	296	451
УИК №488	1743	1500	0	1060	18	422	18	1051	20	1049	50	29	29	21	2	0	0	0	53	204	67	326	399
УИК №489	1738	1700	0	1007	37	656	37	1005	22	1020	70	57	33	13	0	0	0	0	67	225	69	275	384
УИК №490	2349	2000	0	1349	41	610	41	1342	28	1355	50	44	34	6	1	0	0	0	65	292	74	347	577
УИК №491	2801	2500	0	1713	69	718	69	1712	29	1752	80	55	150	25	0	0	0	0	72	368	98	499	715
УИК №49	1682	1400	0	948	36	416	36	948	19	965	70	50	57	20	3	0	0	0	48	218	57	239	403
УИК №492	2580	2500	0	1390	43	1067	43	1385	25	1403	80	62	44	18	0	0	0	0	83	279	69	354	618
УИК №493	2185	1900	0	1252	41	607	41	1248	16	1273	65	52	37	13	0	0	0	0	60	239	60	405	509
УИК №494	1861	1500	0	1036	54	410	54	1032	21	1065	50	30	72	20	0	0	0	0	55	222	57	223	508
УИК №495	2940	2800	0	1672	96	1032	96	1662	37	1721	100	67	80	33	1	0	0	0	70	315	97	581	658
УИК №496	1838	1800	0	1127	39	634	39	1122	23	1138	50	35	61	15	1	0	0	0	37	237	70	325	469
УИК №497	2179	2000	0	1332	55	613	55	1324	30	1349	50	39	66	11	0	0	0	0	64	238	97	397	553
УИК №498	1709	1700	0	972	38	690	38	972	26	984	50	41	29	9	0	0	0	0	41	180	51	264	448
УИК №499	1735	1500	0	975	61	464	61	971	19	1013	60	50	54	10	3	0	0	0	43	250	46	260	414
УИК №500	2355	1800	0	1538	34	228	34	1531	39	1526	60	52	150	8	0	0	0	0	94	260	61	333	778
УИК №501	1739	1500	0	1009	49	442	49	1005	27	1027	50	37	50	13	0	0	0	0	44	222	60	292	409
УИК №50	2035	1780	0	1126	45	609	45	1123	22	1146	90	49	79	41	2	0	0	0	69	236	60	335	446
УИК №502	2972	2300	0	2003	65	232	65	1998	47	2016	80	62	82	18	1	0	0	0	101	368	94	680	773
УИК №503	1910	1500	0	1237	23	240	23	1227	20	1230	50	45	43	5	0	0	0	0	85	236	77	368	464
УИК №504	1554	1500	0	918	36	546	36	918	12	942	50	48	36	2	1	0	0	0	62	159	60	222	439
УИК №505	1552	1200	0	825	38	337	38	825	10	853	40	36	27	4	15	0	0	0	69	155	53	120	456
УИК №506	2241	1600	0	1250	51	299	51	1247	17	1281	60	52	34	8	13	0	0	0	98	230	66	219	668
УИК №507	2427	1800	0	1179	61	560	61	1179	18	1222	70	58	40	12	5	0	0	0	92	253	68	191	618
УИК №508	2120	1500	0	1025	73	402	73	1022	20	1075	60	40	67	20	10	0	0	0	83	215	48	145	584
УИК №509	2289	1800	0	1367	47	386	47	1366	22	1391	80	69	209	11	10	0	0	0	134	281	73	165	738
УИК №510	1780	1300	0	1036	44	220	44	1034	20	1058	120	112	32	8	16	0	0	0	131	181	33	115	598
УИК №511	2412	1800	0	1284	59	457	59	1282	23	1318	70	69	49	1	11	0	0	0	107	268	74	214	655
УИК №51	1480	990	0	939	22	29	22	939	17	944	50	17	99	33	1	0	0	0	49	147	44	290	414
УИК №512	2584	1900	0	1495	41	364	41	1490	14	1517	60	52	29	8	7	0	0	0	102	269	64	279	803
УИК №513	2698	2000	0	1466	53	481	53	1466	27	1492	90	84	48	6	13	0	0	0	94	282	86	248	782
УИК №514	2615	1900	0	1579	30	291	30	1575	29	1576	70	64	34	6	6	0	0	0	100	336	67	289	784
УИК №515	2833	2100	0	1594	31	475	31	1588	20	1599	100	84	42	16	13	0	0	0	113	282	100	303	801
УИК №516	2728	2000	0	1492	29	479	29	1492	26	1495	80	70	20	10	14	0	0	0	112	280	75	267	761
УИК №517	2918	2100	0	1527	62	511	62	1525	29	1558	70	68	28	2	5	0	0	0	121	289	75	244	829
УИК №518	2403	1800	0	1337	26	437	26	1337	14	1349	60	58	64	2	3	0	0	0	121	260	60	205	703
УИК №519	2659	2000	0	1515	50	435	50	1509	32	1527	55	53	57	2	3	0	0	0	89	306	79	266	787
УИК №520	2271	1800	0	1238	57	505	57	1237	30	1264	55	52	40	3	9	0	0	0	84	276	80	225	599
УИК №521	2190	1800	0	1284	49	467	49	1284	20	1313	50	50	29	0	2	0	0	0	75	263	69	270	636
УИК №5	2218	1700	0	1201	51	448	51	1198	28	1221	50	49	176	1	2	0	0	0	33	248	56	379	505
УИК №52	2242	1910	0	1197	23	690	23	1197	26	1194	90	67	47	23	2	0	0	0	70	182	30	317	595
УИК №522	2432	1800	0	1347	43	410	43	1344	16	1371	55	55	47	0	0	0	0	0	99	266	73	257	676
УИК №523	2260	2000	0	1209	65	726	65	1196	19	1242	220	220	39	0	1	0	0	0	92	228	87	259	576
УИК №524	2449	2000	0	1332	39	629	39	1323	38	1324	58	58	23	0	1	0	0	0	94	247	80	249	654
УИК №525	2522	2000	0	1462	63	475	63	1399	35	1427	53	48	47	5	2	0	0	0	65	301	94	325	642
УИК №526	2380	2000	0	1429	33	538	33	1423	33	1423	52	51	37	1	0	0	0	0	83	292	73	319	656
УИК №527	2433	2000	0	1331	38	631	38	1324	27	1335	45	43	26	2	0	0	0	0	87	291	81	267	609
УИК №528	2543	2000	0	1424	55	521	55	1418	36	1437	50	50	40	0	1	0	0	0	87	271	77	334	668
УИК №529	2268	1800	0	1395	34	371	34	1387	26	1395	55	45	47	10	5	0	0	0	83	288	84	307	633
УИК №530	2675	2000	0	1628	51	321	51	1622	39	1634	65	65	57	0	2	0	0	0	76	341	108	384	725
УИК №531	2563	2000	0	1618	32	350	32	1618	37	1613	53	53	78	0	0	0	0	0	108	302	80	319	804
УИК №532	1841	1500	0	939	41	520	41	937	22	956	40	38	51	2	1	0	0	0	63	198	43	179	473
УИК №53	2651	2200	0	1536	46	618	46	1536	32	1550	110	53	90	57	4	0	0	0	70	354	70	414	642
УИК №533	2180	1700	0	1324	40	336	40	1320	28	1332	65	64	88	1	0	0	0	0	75	238	68	352	599
УИК №534	2450	2000	0	1319	63	618	63	1317	24	1356	55	52	37	3	3	0	0	0	79	313	62	242	660
УИК №535	2420	2000	0	1389	55	556	55	1388	27	1416	73	71	67	2	2	0	0	0	72	310	76	286	672
УИК №536	2640	2200	0	1493	44	663	44	1486	31	1499	62	60	34	2	3	0	0	0	80	304	85	301	729
УИК №537	2473	2000	0	1364	34	602	34	1362	33	1363	45	45	42	0	0	0	0	0	72	279	87	212	713
УИК №538	2093	1700	0	1195	40	465	40	1194	35	1199	45	41	28	4	1	0	0	0	60	293	80	299	467
УИК №539	2156	1700	0	1233	37	430	37	1231	13	1255	40	40	49	0	2	0	0	0	77	277	73	223	605
УИК №540	2586	2000	0	1385	32	583	32	1385	26	1391	48	46	48	2	3	0	0	0	85	321	54	254	677
УИК №541	1309	1000	0	773	21	206	21	773	12	782	30	25	32	5	0	0	0	0	48	157	44	142	391
УИК №542	2222	1700	0	1325	42	333	42	1319	24	1337	37	36	50	1	0	0	0	0	59	285	80	307	606
УИК №54	2616	1900	0	1598	39	263	39	1596	48	1587	110	92	129	18	3	0	0	0	80	241	64	492	710
УИК №543	2568	2200	0	1786	44	370	44	1784	53	1775	295	294	8	1	3	0	0	0	162	265	58	249	1041
УИК №544	2519	1800	0	1337	75	388	75	1337	32	1380	65	60	45	5	2	0	0	0	109	268	86	247	670
УИК №545	2665	1800	0	1474	55	271	55	1472	21	1506	65	58	21	7	0	0	0	0	110	260	76	297	763
УИК №546	2418	1700	0	1331	41	328	41	1325	24	1342	70	64	49	6	1	0	0	0	92	253	69	216	712
УИК №547	2644	1900	0	1329	59	512	59	1327	16	1370	70	66	26	4	4	0	0	0	109	282	65	186	728
УИК №548	2756	1900	0	1499	39	362	39	1497	24	1512	70	64	48	6	2	0	0	0	124	315	74	246	753
УИК №549	2478	1700	0	1321	59	320	59	1319	35	1343	60	53	27	7	4	0	0	0	95	232	79	256	681
УИК №550	2066	1500	0	1144	44	312	44	1140	24	1160	65	65	50	0	0	0	0	0	88	212	48	212	600
УИК №551	2549	1800	0	1387	48	365	48	1382	21	1409	55	54	36	1	2	0	0	0	112	283	75	224	715
УИК №552	2429	1700	0	1316	73	311	73	1242	22	1293	80	80	27	0	4	0	0	0	107	264	81	186	655
УИК №55	2888	2100	0	1537	67	496	67	1531	38	1560	80	63	88	17	3	0	0	0	64	312	60	457	667
УИК №553	2405	1700	0	1387	10	303	10	1383	28	1365	60	59	48	1	2	0	0	0	110	266	67	224	698
УИК №554	2162	1500	0	1145	27	328	27	1145	27	1145	40	40	28	0	1	0	0	0	69	232	56	194	594
УИК №555	2252	1600	0	1216	25	359	25	1211	16	1220	55	49	47	6	2	0	0	0	76	240	69	223	612
УИК №556	2073	1500	0	1182	26	292	26	1182	18	1190	45	45	17	0	3	0	0	0	88	242	56	227	577
УИК №557	2408	1700	0	1313	43	344	43	1313	31	1325	55	53	41	1	0	1	0	0	89	234	55	251	696
УИК №558	2561	1800	0	1367	51	382	51	1348	15	1384	70	62	27	8	9	0	0	0	95	290	60	261	678
УИК №559	2495	1600	0	1292	48	260	48	1285	24	1309	30	30	35	0	1	0	0	0	93	239	68	215	694
УИК №560	2834	2000	0	1498	53	449	53	1494	22	1525	60	56	16	4	1	0	0	0	135	280	73	272	765
УИК №561	1713	1200	0	916	24	260	24	908	15	917	30	30	30	0	1	0	0	0	66	152	54	147	498
УИК №562	1723	1200	0	943	29	228	29	937	17	949	30	29	32	1	2	0	0	0	70	171	53	149	506
УИК №56	2855	2200	0	1534	83	583	83	1530	40	1573	90	66	72	24	1	0	0	0	74	332	76	435	656
УИК №563	2461	1600	0	1501	50	49	50	1442	24	1468	45	45	23	0	0	0	0	0	118	279	79	220	772
УИК №564	2322	1500	0	1190	34	276	34	1187	28	1193	40	40	87	0	5	0	0	0	69	248	61	213	602
УИК №565	2161	1500	0	1161	48	291	48	1159	26	1181	45	45	17	0	0	0	0	0	75	222	56	165	663
УИК №566	2638	1800	0	1369	32	399	32	1365	30	1367	60	60	58	0	7	0	0	0	100	242	71	294	660
УИК №567	2381	1700	0	1345	52	303	52	1293	33	1312	50	44	28	6	2	0	0	0	79	271	79	272	611
УИК №568	2605	1800	0	1404	93	303	93	1377	29	1441	65	65	57	0	2	0	0	0	95	245	76	223	802
УИК №569	2328	1600	0	1202	58	340	58	1201	20	1239	50	46	35	4	3	0	0	0	84	209	65	214	667
УИК №570	2313	1600	0	1255	65	280	65	1255	21	1299	40	36	30	4	3	0	0	0	97	241	59	253	649
УИК №571	2322	1600	0	1277	53	270	53	1275	14	1314	55	52	33	3	2	0	0	0	98	250	82	254	630
УИК №572	2483	1800	0	1300	47	453	47	1296	29	1314	50	50	35	0	2	0	0	0	91	294	72	204	653
УИК №57	3063	2300	0	1828	81	391	81	1828	47	1862	90	64	137	26	1	0	0	0	63	397	101	504	797
УИК №573	2739	2000	0	1398	20	582	20	1398	28	1390	110	110	25	0	3	0	0	0	110	294	73	210	703
УИК №574	2472	1600	0	1440	35	125	35	1440	21	1454	55	55	43	0	6	0	0	0	94	273	86	306	695
УИК №575	2520	1800	0	1347	37	416	37	1345	33	1349	65	61	23	4	2	0	0	0	96	265	77	237	674
УИК №576	2223	1600	0	1233	57	310	57	1233	33	1257	55	50	33	5	1	0	0	0	79	274	59	258	587
УИК №577	2404	1700	0	1256	58	386	58	1250	29	1279	55	55	40	0	2	0	0	0	63	248	48	263	657
УИК №578	2399	1700	0	1312	50	338	50	1302	23	1329	40	40	9	0	3	0	0	0	96	228	59	235	711
УИК №579	2442	1700	0	1361	60	279	60	1361	25	1396	55	52	41	3	4	0	0	0	84	268	88	288	668
УИК №580	2466	1700	0	1316	55	329	55	1316	25	1346	55	55	23	0	4	0	0	0	105	252	57	257	675
УИК №581	2458	1700	0	1492	26	182	26	1491	28	1489	50	50	42	0	2	0	0	0	88	301	60	308	732
УИК №58	2040	1400	0	1111	53	236	53	1106	17	1142	60	55	80	5	1	0	0	0	60	247	66	278	491
УИК №582	2481	1800	0	1355	51	394	51	1355	21	1385	50	48	41	2	1	0	0	0	93	280	71	269	672
УИК №583	2715	1900	0	1435	9	456	9	1426	25	1410	65	64	64	1	4	0	0	0	137	221	49	208	795
УИК №584	2339	1700	0	1304	32	364	32	1301	35	1298	55	50	37	5	1	0	0	0	112	241	66	247	632
УИК №585	2034	1400	0	1160	43	197	43	1151	20	1174	40	40	45	0	0	0	0	0	71	226	67	233	577
УИК №586	2174	1500	0	1277	28	195	28	1266	15	1279	55	55	25	0	6	0	0	0	56	252	81	253	637
УИК №587	1515	1300	0	805	50	445	50	805	16	839	32	32	46	0	8	0	0	0	47	159	57	235	341
УИК №588	2259	1900	0	1131	42	727	42	1131	20	1153	51	49	19	2	10	0	0	0	59	221	66	267	540
УИК №589	1818	1600	0	993	45	562	45	991	22	1014	46	46	48	0	17	0	0	0	63	168	39	284	460
УИК №590	2229	1900	0	1135	51	714	51	1120	20	1151	40	38	32	2	7	0	0	0	74	189	70	233	585
УИК №591	2201	1900	0	1230	54	616	54	1229	18	1265	40	36	21	4	19	0	0	0	59	259	62	298	587
УИК №592	2156	1900	0	1083	49	768	49	1083	21	1111	55	52	42	3	19	0	0	0	89	215	55	231	521
УИК №59	2500	1950	0	1351	71	528	71	1351	33	1389	60	54	80	6	3	0	0	0	81	287	73	296	652
УИК №593	2247	1900	0	1231	120	549	120	1226	36	1310	53	52	29	1	19	0	0	0	75	272	84	332	547
УИК №594	2136	1700	0	1304	29	367	29	1272	26	1275	40	32	83	8	17	0	0	0	92	252	78	291	562
УИК №595	1813	1500	0	1118	21	361	21	1118	40	1099	40	39	44	1	8	0	0	0	58	221	44	192	584
УИК №596	1866	1600	0	1076	29	495	29	1076	19	1086	40	33	41	7	5	0	0	0	71	240	65	212	498
УИК №597	1817	1500	0	1086	26	388	26	1081	17	1090	50	41	53	9	4	0	0	0	72	246	59	237	476
УИК №598	1755	1500	0	1032	43	425	43	1028	12	1059	47	42	20	5	12	0	0	0	53	262	52	247	445
УИК №599	1954	1800	0	1184	30	586	30	1184	14	1200	65	61	15	4	13	0	0	0	61	283	67	267	522
УИК №600	1938	1700	0	1234	46	420	46	1207	30	1223	80	73	30	7	20	0	0	0	65	264	44	337	513
УИК №601	1913	1600	0	1001	50	549	50	1001	11	1040	45	41	28	4	8	0	0	0	69	214	53	218	486
УИК №602	2263	2000	0	1256	34	710	34	1254	21	1267	50	50	27	0	12	0	0	0	92	240	65	284	586
УИК №60	2791	2150	0	1421	70	659	70	1413	30	1453	80	57	94	23	1	0	0	0	96	296	89	361	611
УИК №603	1748	1500	0	966	55	479	55	963	27	991	38	36	21	2	8	0	0	0	90	190	53	209	449
УИК №604	1919	1600	0	1038	10	552	10	1038	15	1033	65	60	74	5	5	0	0	0	56	175	51	309	442
УИК №605	2503	2300	0	1458	49	793	49	1458	40	1467	65	65	35	0	5	0	0	0	104	292	76	223	772
УИК №606	2623	2400	0	1391	10	999	10	1391	33	1368	65	65	47	0	12	0	0	0	142	284	38	188	716
УИК №607	2521	2300	0	1531	38	731	38	1531	40	1529	68	68	51	0	5	0	0	0	91	335	74	319	710
УИК №608	2251	1900	0	1355	41	504	41	1350	24	1367	65	47	37	18	7	0	0	0	74	292	66	280	655
УИК №609	1995	1800	0	1203	46	551	46	1203	26	1223	65	53	45	12	6	0	0	0	65	300	61	206	591
УИК №610	2012	1800	0	1181	75	544	75	1175	24	1226	65	42	36	23	3	0	0	0	81	260	69	203	613
УИК №611	2083	1900	0	1161	49	690	49	1148	26	1171	65	53	29	12	4	0	0	0	98	228	69	190	586
УИК №612	2419	2200	0	1424	66	710	66	1424	29	1461	65	65	42	0	6	0	0	0	84	307	98	269	703
УИК №61	2294	1750	0	1342	63	345	63	1338	19	1382	60	53	115	7	0	0	0	0	73	273	72	335	629
УИК №613	2597	2400	0	1535	40	825	40	1523	38	1525	65	65	47	0	6	0	0	0	113	242	75	264	831
УИК №614	2622	2400	0	1501	15	884	15	1501	19	1497	65	45	37	20	7	0	0	0	139	267	79	237	775
УИК №6	1495	1000	0	855	14	131	14	852	25	841	50	46	139	4	0	0	0	0	45	142	37	265	352
УИК №615	2598	2400	0	1621	40	739	40	1621	29	1632	65	65	33	0	9	0	0	0	101	382	87	297	765
УИК №616	1943	1700	0	1102	39	559	39	1102	22	1119	65	65	42	0	11	0	0	0	66	215	62	201	575
УИК №617	1878	1700	0	1071	100	529	100	1071	16	1155	65	65	38	0	2	0	0	0	74	217	65	184	615
УИК №618	2146	1900	0	1178	71	651	71	1178	19	1230	65	64	19	1	4	0	0	0	80	275	63	227	585
УИК №619	2504	2300	0	1428	38	834	38	1390	35	1393	75	75	51	0	6	0	0	0	90	271	63	279	690
