УИК №981	168	250	0	143	0	107	0	143	3	140	0	0	92	48
УИК №5801	19	19	0	19	0	0	0	19	4	15	0	0	9	6
УИК №5802	17	17	0	17	0	0	0	17	0	17	0	0	7	10
УИК №5804	22	22	0	22	0	0	0	22	0	22	0	0	19	3
УИК №5805	16	16	0	16	0	0	0	16	0	16	0	0	13	3
УИК №5806	14	14	0	14	0	0	0	14	0	14	0	0	12	2
УИК №5807	11	11	0	11	0	0	0	11	0	11	0	0	3	8
УИК №5808	15	15	0	13	0	2	0	13	0	13	0	0	3	10
УИК №5809	17	17	0	17	0	0	0	17	0	17	0	0	3	14
УИК №5810	18	18	0	18	0	0	0	18	3	15	0	0	5	10
УИК №5811	17	17	0	17	0	0	0	17	1	16	0	0	2	14
УИК №5812	17	17	0	17	0	0	0	17	4	13	0	0	4	9
УИК №5813	16	16	0	16	0	0	0	16	0	16	0	0	1	15
УИК №5814	76	76	0	76	0	0	0	76	0	76	0	0	3	73
УИК №5815	107	107	0	107	0	0	0	107	1	106	0	0	14	92
УИК №5816	65	65	0	65	0	0	0	65	5	60	0	0	11	49
УИК №5817	54	54	0	54	0	0	0	54	0	54	0	0	5	49
УИК №5818	14	14	0	14	0	0	0	14	0	14	0	0	11	3
УИК №5819	57	57	0	57	0	0	0	57	0	57	0	0	0	57
УИК №5820	28	28	0	28	0	0	0	28	1	27	0	0	4	23
УИК №5821	30	30	0	30	0	0	0	30	0	30	0	0	4	26
